m	up	down
MC=2.5		
NITI=1		
COH=1		
1.8010	9.48E-01	9.48E-01
1.8118	9.48E-01	9.48E-01
1.8225	9.47E-01	9.47E-01
1.8333	9.47E-01	9.47E-01
1.8441	9.46E-01	9.46E-01
1.8549	9.46E-01	9.46E-01
1.8657	9.45E-01	9.45E-01
1.8765	9.44E-01	9.44E-01
1.8873	9.44E-01	9.44E-01
1.8980	9.43E-01	9.43E-01
1.9088	9.43E-01	9.43E-01
1.9196	9.42E-01	9.42E-01
1.9304	9.42E-01	9.42E-01
1.9412	9.41E-01	9.41E-01
1.9520	9.41E-01	9.41E-01
1.9627	9.40E-01	9.40E-01
1.9735	9.39E-01	9.39E-01
1.9843	9.39E-01	9.39E-01
1.9951	9.38E-01	9.38E-01
2.0059	9.38E-01	9.38E-01
2.0167	9.37E-01	9.37E-01
2.0275	9.37E-01	9.37E-01
2.0382	9.36E-01	9.36E-01
2.0490	9.35E-01	9.35E-01
2.0598	9.35E-01	9.35E-01
2.0706	9.34E-01	9.34E-01
2.0814	9.34E-01	9.34E-01
2.0922	9.33E-01	9.33E-01
2.1029	9.33E-01	9.33E-01
2.1137	9.32E-01	9.32E-01
2.1245	9.32E-01	9.32E-01
2.1353	9.31E-01	9.31E-01
2.1461	9.30E-01	9.30E-01
2.1569	9.30E-01	9.30E-01
2.1676	9.29E-01	9.29E-01
2.1784	9.29E-01	9.29E-01
2.1892	9.28E-01	9.28E-01
2.2000	9.28E-01	9.28E-01
2.2108	9.27E-01	9.27E-01
2.2216	9.27E-01	9.27E-01
2.2324	9.26E-01	9.26E-01
2.2431	9.25E-01	9.25E-01
2.2539	9.25E-01	9.25E-01
2.2647	9.24E-01	9.24E-01
2.2755	9.24E-01	9.24E-01
2.2863	9.23E-01	9.23E-01
2.2971	9.23E-01	9.23E-01
2.3078	9.22E-01	9.22E-01
2.3186	9.21E-01	9.21E-01
2.3294	9.21E-01	9.21E-01
2.3402	9.20E-01	9.20E-01
2.3510	9.20E-01	9.20E-01
2.3618	9.19E-01	9.19E-01
2.3725	9.19E-01	9.19E-01
2.3833	9.18E-01	9.18E-01
2.3941	9.17E-01	9.17E-01
2.4049	9.17E-01	9.17E-01
2.4157	9.15E-01	9.15E-01
2.4265	9.13E-01	9.13E-01
2.4373	9.09E-01	9.09E-01
2.4480	9.01E-01	9.01E-01
2.4588	8.81E-01	8.81E-01
2.4696	8.40E-01	8.40E-01
2.4804	7.56E-01	7.56E-01
2.4912	6.11E-01	6.11E-01
2.5020	4.20E-01	4.20E-01
2.5127	2.42E-01	2.42E-01
2.5235	1.20E-01	1.20E-01
2.5343	5.49E-02	5.49E-02
2.5451	2.40E-02	2.40E-02
2.5559	1.03E-02	1.03E-02
2.5667	4.37E-03	4.37E-03
2.5775	1.85E-03	1.85E-03
2.5882	0.00E+00	0.00E+00
2.5990	0.00E+00	0.00E+00
2.6098	0.00E+00	0.00E+00
2.6206	0.00E+00	0.00E+00
2.6314	0.00E+00	0.00E+00
2.6422	0.00E+00	0.00E+00
2.6529	0.00E+00	0.00E+00
2.6637	0.00E+00	0.00E+00
2.6745	0.00E+00	0.00E+00
2.6853	0.00E+00	0.00E+00
2.6961	0.00E+00	0.00E+00
2.7069	0.00E+00	0.00E+00
2.7176	0.00E+00	0.00E+00
2.7284	0.00E+00	0.00E+00
2.7392	0.00E+00	0.00E+00
2.7500	0.00E+00	0.00E+00
