m	up	down
MC=5		
NITI=1		
COH=0		
0.0000	9.90E-01	9.90E-01
0.0216	9.90E-01	9.90E-01
0.0431	9.90E-01	9.90E-01
0.0647	9.90E-01	9.90E-01
0.0863	9.90E-01	9.90E-01
0.1078	9.90E-01	9.90E-01
0.1294	9.90E-01	9.90E-01
0.1510	9.90E-01	9.90E-01
0.1725	9.90E-01	9.90E-01
0.1941	9.90E-01	9.90E-01
0.2157	9.90E-01	9.90E-01
0.2373	9.90E-01	9.90E-01
0.2588	9.90E-01	9.90E-01
0.2804	9.90E-01	9.90E-01
0.3020	9.90E-01	9.90E-01
0.3235	9.90E-01	9.90E-01
0.3451	9.90E-01	9.90E-01
0.3667	9.90E-01	9.90E-01
0.3882	9.90E-01	9.90E-01
0.4098	9.90E-01	9.90E-01
0.4314	9.90E-01	9.90E-01
0.4529	9.90E-01	9.90E-01
0.4745	9.90E-01	9.90E-01
0.4961	9.90E-01	9.90E-01
0.5176	9.90E-01	9.90E-01
0.5392	9.90E-01	9.90E-01
0.5608	9.90E-01	9.90E-01
0.5824	9.90E-01	9.90E-01
0.6039	9.90E-01	9.90E-01
0.6255	9.90E-01	9.90E-01
0.6471	9.90E-01	9.90E-01
0.6686	9.90E-01	9.90E-01
0.6902	9.90E-01	9.90E-01
0.7118	9.90E-01	9.90E-01
0.7333	9.90E-01	9.90E-01
0.7549	9.90E-01	9.90E-01
0.7765	9.90E-01	9.90E-01
0.7980	9.90E-01	9.90E-01
0.8196	9.90E-01	9.90E-01
0.8412	9.90E-01	9.90E-01
0.8627	9.90E-01	9.90E-01
0.8843	9.90E-01	9.90E-01
0.9059	9.90E-01	9.90E-01
0.9275	9.90E-01	9.90E-01
0.9490	9.90E-01	9.90E-01
0.9706	9.90E-01	9.90E-01
0.9922	9.90E-01	9.90E-01
1.0137	9.89E-01	9.89E-01
1.0353	9.88E-01	9.88E-01
1.0569	9.86E-01	9.86E-01
1.0784	9.85E-01	9.85E-01
1.1000	9.83E-01	9.83E-01
1.1216	9.82E-01	9.82E-01
1.1431	9.80E-01	9.80E-01
1.1647	9.79E-01	9.79E-01
1.1863	9.77E-01	9.77E-01
1.2078	9.76E-01	9.76E-01
1.2294	9.74E-01	9.74E-01
1.2510	9.73E-01	9.73E-01
1.2725	9.71E-01	9.71E-01
1.2941	9.70E-01	9.70E-01
1.3157	9.68E-01	9.68E-01
1.3373	9.67E-01	9.67E-01
1.3588	9.65E-01	9.65E-01
1.3804	9.64E-01	9.64E-01
1.4020	9.62E-01	9.62E-01
1.4235	9.61E-01	9.61E-01
1.4451	9.59E-01	9.59E-01
1.4667	9.58E-01	9.58E-01
1.4882	9.56E-01	9.56E-01
1.5098	9.55E-01	9.55E-01
1.5314	9.53E-01	9.53E-01
1.5529	9.52E-01	9.52E-01
1.5745	9.50E-01	9.50E-01
1.5961	9.49E-01	9.49E-01
1.6176	9.47E-01	9.47E-01
1.6392	9.46E-01	9.46E-01
1.6608	9.44E-01	9.44E-01
1.6824	9.43E-01	9.43E-01
1.7039	9.41E-01	9.41E-01
1.7255	9.40E-01	9.40E-01
1.7471	9.38E-01	9.38E-01
1.7686	9.37E-01	9.37E-01
1.7902	9.35E-01	9.35E-01
1.8118	9.34E-01	9.34E-01
1.8333	9.32E-01	9.32E-01
1.8549	9.31E-01	9.31E-01
1.8765	9.29E-01	9.29E-01
1.8980	9.28E-01	9.28E-01
1.9196	9.26E-01	9.26E-01
1.9412	9.25E-01	9.25E-01
1.9627	9.23E-01	9.23E-01
1.9843	9.22E-01	9.22E-01
2.0059	9.20E-01	9.20E-01
2.0275	9.19E-01	9.19E-01
2.0490	9.17E-01	9.17E-01
2.0706	9.16E-01	9.16E-01
2.0922	9.14E-01	9.14E-01
2.1137	9.13E-01	9.13E-01
2.1353	9.11E-01	9.11E-01
2.1569	9.10E-01	9.10E-01
2.1784	9.08E-01	9.08E-01
2.2000	9.07E-01	9.07E-01
2.2216	9.05E-01	9.05E-01
2.2431	9.04E-01	9.04E-01
2.2647	9.02E-01	9.02E-01
2.2863	9.01E-01	9.01E-01
2.3078	8.99E-01	8.99E-01
2.3294	8.98E-01	8.98E-01
2.3510	8.96E-01	8.96E-01
2.3725	8.95E-01	8.95E-01
2.3941	8.94E-01	8.94E-01
2.4157	8.92E-01	8.92E-01
2.4373	8.91E-01	8.91E-01
2.4588	8.89E-01	8.89E-01
2.4804	8.88E-01	8.88E-01
2.5020	8.86E-01	8.86E-01
2.5235	8.85E-01	8.85E-01
2.5451	8.83E-01	8.83E-01
2.5667	8.82E-01	8.82E-01
2.5882	8.80E-01	8.80E-01
2.6098	8.79E-01	8.79E-01
2.6314	8.77E-01	8.77E-01
2.6529	8.76E-01	8.76E-01
2.6745	8.74E-01	8.74E-01
2.6961	8.73E-01	8.73E-01
2.7176	8.71E-01	8.71E-01
2.7392	8.70E-01	8.70E-01
2.7608	8.68E-01	8.68E-01
2.7824	8.67E-01	8.67E-01
2.8039	8.65E-01	8.65E-01
2.8255	8.64E-01	8.64E-01
2.8471	8.62E-01	8.62E-01
2.8686	8.61E-01	8.61E-01
2.8902	8.59E-01	8.59E-01
2.9118	8.58E-01	8.58E-01
2.9333	8.56E-01	8.56E-01
2.9549	8.55E-01	8.55E-01
2.9765	8.53E-01	8.53E-01
2.9980	8.52E-01	8.52E-01
3.0196	8.50E-01	8.50E-01
3.0412	8.49E-01	8.49E-01
3.0627	8.47E-01	8.47E-01
3.0843	8.46E-01	8.46E-01
3.1059	8.45E-01	8.45E-01
3.1275	8.43E-01	8.43E-01
3.1490	8.42E-01	8.42E-01
3.1706	8.40E-01	8.40E-01
3.1922	8.39E-01	8.39E-01
3.2137	8.37E-01	8.37E-01
3.2353	8.36E-01	8.36E-01
3.2569	8.34E-01	8.34E-01
3.2784	8.33E-01	8.33E-01
3.3000	8.31E-01	8.31E-01
3.3216	8.30E-01	8.30E-01
3.3431	8.28E-01	8.28E-01
3.3647	8.27E-01	8.27E-01
3.3863	8.25E-01	8.25E-01
3.4078	8.24E-01	8.24E-01
3.4294	8.22E-01	8.22E-01
3.4510	8.21E-01	8.21E-01
3.4725	8.19E-01	8.19E-01
3.4941	8.18E-01	8.18E-01
3.5157	8.16E-01	8.16E-01
3.5373	8.15E-01	8.15E-01
3.5588	8.13E-01	8.13E-01
3.5804	8.12E-01	8.12E-01
3.6020	8.10E-01	8.10E-01
3.6235	8.09E-01	8.09E-01
3.6451	8.08E-01	8.08E-01
3.6667	8.06E-01	8.06E-01
3.6882	8.05E-01	8.05E-01
3.7098	8.03E-01	8.03E-01
3.7314	8.02E-01	8.02E-01
3.7529	8.00E-01	8.00E-01
3.7745	7.99E-01	7.99E-01
3.7961	7.97E-01	7.97E-01
3.8176	7.96E-01	7.96E-01
3.8392	7.94E-01	7.94E-01
3.8608	7.93E-01	7.93E-01
3.8824	7.91E-01	7.91E-01
