m	up	down
MC=1.5		
NITI=1		
COH=0		
1.0806	9.85E-01	9.85E-01
1.0871	9.85E-01	9.85E-01
1.0935	9.85E-01	9.85E-01
1.1000	9.84E-01	9.84E-01
1.1065	9.84E-01	9.84E-01
1.1129	9.84E-01	9.84E-01
1.1194	9.83E-01	9.83E-01
1.1259	9.83E-01	9.83E-01
1.1324	9.82E-01	9.82E-01
1.1388	9.82E-01	9.82E-01
1.1453	9.82E-01	9.82E-01
1.1518	9.81E-01	9.81E-01
1.1582	9.81E-01	9.81E-01
1.1647	9.81E-01	9.81E-01
1.1712	9.80E-01	9.80E-01
1.1776	9.80E-01	9.80E-01
1.1841	9.80E-01	9.80E-01
1.1906	9.79E-01	9.79E-01
1.1971	9.79E-01	9.79E-01
1.2035	9.78E-01	9.78E-01
1.2100	9.78E-01	9.78E-01
1.2165	9.78E-01	9.78E-01
1.2229	9.77E-01	9.77E-01
1.2294	9.77E-01	9.77E-01
1.2359	9.77E-01	9.77E-01
1.2424	9.76E-01	9.76E-01
1.2488	9.76E-01	9.76E-01
1.2553	9.75E-01	9.75E-01
1.2618	9.75E-01	9.75E-01
1.2682	9.75E-01	9.75E-01
1.2747	9.74E-01	9.74E-01
1.2812	9.74E-01	9.74E-01
1.2876	9.74E-01	9.74E-01
1.2941	9.73E-01	9.73E-01
1.3006	9.73E-01	9.73E-01
1.3071	9.73E-01	9.73E-01
1.3135	9.72E-01	9.72E-01
1.3200	9.72E-01	9.72E-01
1.3265	9.71E-01	9.71E-01
1.3329	9.71E-01	9.71E-01
1.3394	9.71E-01	9.71E-01
1.3459	9.70E-01	9.70E-01
1.3524	9.70E-01	9.70E-01
1.3588	9.70E-01	9.70E-01
1.3653	9.69E-01	9.69E-01
1.3718	9.69E-01	9.69E-01
1.3782	9.68E-01	9.68E-01
1.3847	9.68E-01	9.68E-01
1.3912	9.68E-01	9.68E-01
1.3976	9.67E-01	9.67E-01
1.4041	9.67E-01	9.67E-01
1.4106	9.66E-01	9.66E-01
1.4171	9.65E-01	9.65E-01
1.4235	9.64E-01	9.64E-01
1.4300	9.62E-01	9.62E-01
1.4365	9.59E-01	9.59E-01
1.4429	9.55E-01	9.55E-01
1.4494	9.48E-01	9.48E-01
1.4559	9.37E-01	9.37E-01
1.4624	9.18E-01	9.18E-01
1.4688	8.90E-01	8.90E-01
