m	up	down
MC=3.5		
NITI=1		
COH=0		
0.0000	9.90E-01	9.90E-01
0.0151	9.90E-01	9.90E-01
0.0302	9.90E-01	9.90E-01
0.0453	9.90E-01	9.90E-01
0.0604	9.90E-01	9.90E-01
0.0755	9.90E-01	9.90E-01
0.0906	9.90E-01	9.90E-01
0.1057	9.90E-01	9.90E-01
0.1208	9.90E-01	9.90E-01
0.1359	9.90E-01	9.90E-01
0.1510	9.90E-01	9.90E-01
0.1661	9.90E-01	9.90E-01
0.1812	9.90E-01	9.90E-01
0.1963	9.90E-01	9.90E-01
0.2114	9.90E-01	9.90E-01
0.2265	9.90E-01	9.90E-01
0.2416	9.90E-01	9.90E-01
0.2567	9.90E-01	9.90E-01
0.2718	9.90E-01	9.90E-01
0.2869	9.90E-01	9.90E-01
0.3020	9.90E-01	9.90E-01
0.3171	9.90E-01	9.90E-01
0.3322	9.90E-01	9.90E-01
0.3473	9.90E-01	9.90E-01
0.3624	9.90E-01	9.90E-01
0.3775	9.90E-01	9.90E-01
0.3925	9.90E-01	9.90E-01
0.4076	9.90E-01	9.90E-01
0.4227	9.90E-01	9.90E-01
0.4378	9.90E-01	9.90E-01
0.4529	9.90E-01	9.90E-01
0.4680	9.90E-01	9.90E-01
0.4831	9.90E-01	9.90E-01
0.4982	9.90E-01	9.90E-01
0.5133	9.90E-01	9.90E-01
0.5284	9.90E-01	9.90E-01
0.5435	9.90E-01	9.90E-01
0.5586	9.90E-01	9.90E-01
0.5737	9.90E-01	9.90E-01
0.5888	9.90E-01	9.90E-01
0.6039	9.90E-01	9.90E-01
0.6190	9.90E-01	9.90E-01
0.6341	9.90E-01	9.90E-01
0.6492	9.90E-01	9.90E-01
0.6643	9.90E-01	9.90E-01
0.6794	9.90E-01	9.90E-01
0.6945	9.90E-01	9.90E-01
0.7096	9.90E-01	9.90E-01
0.7247	9.90E-01	9.90E-01
0.7398	9.90E-01	9.90E-01
0.7549	9.90E-01	9.90E-01
0.7700	9.90E-01	9.90E-01
0.7851	9.90E-01	9.90E-01
0.8002	9.90E-01	9.90E-01
0.8153	9.90E-01	9.90E-01
0.8304	9.90E-01	9.90E-01
0.8455	9.90E-01	9.90E-01
0.8606	9.90E-01	9.90E-01
0.8757	9.90E-01	9.90E-01
0.8908	9.90E-01	9.90E-01
0.9059	9.90E-01	9.90E-01
0.9210	9.90E-01	9.90E-01
0.9361	9.90E-01	9.90E-01
0.9512	9.90E-01	9.90E-01
0.9663	9.90E-01	9.90E-01
0.9814	9.90E-01	9.90E-01
0.9965	9.90E-01	9.90E-01
1.0116	9.89E-01	9.89E-01
