m 	 up  	down	 # McStas
THICK=0.034
RHO=3.99e-6
SIG1=0.099
SIG2=0.0211
MC=6.0
0.0	0.99	0.99
0.0282	0.99	0.99
0.0565	0.99	0.99
0.0847	0.99	0.99
0.1129	0.99	0.99
0.1412	0.99	0.99
0.1694	0.99	0.99
0.1976	0.99	0.99
0.2259	0.99	0.99
0.2541	0.99	0.99
0.2824	0.99	0.99
0.3106	0.99	0.99
0.3388	0.99	0.99
0.3671	0.99	0.99
0.3953	0.99	0.99
0.4235	0.99	0.99
0.4518	0.99	0.99
0.48	0.99	0.99
0.5082	0.99	0.99
0.5365	0.99	0.99
0.5647	0.99	0.99
0.5929	0.99	0.99
0.6212	0.99	0.99
0.6494	0.99	0.99
0.6776	0.99	0.99
0.7059	0.99	0.99
0.7341	0.99	0.99
0.7624	0.99	0.99
0.7906	0.99	0.99
0.8188	0.99	0.99
0.8471	0.99	0.99
0.8753	0.99	0.99
0.9035	0.99	0.99
0.9318	0.99	0.99
0.96	0.99	0.99
0.9882	0.99	0.99
1.0165	0.9877	0.9877
1.0447	0.9838	0.9838
1.0729	0.9798	0.9798
1.1012	0.9759	0.9759
1.1294	0.972	0.972
1.1576	0.9682	0.9682
1.1859	0.9643	0.9643
1.2141	0.9605	0.9605
1.2424	0.9567	0.9567
1.2706	0.9529	0.9529
1.2988	0.9491	0.9491
1.3271	0.9453	0.9453
1.3553	0.9415	0.9415
1.3835	0.9378	0.9378
1.4118	0.9341	0.9341
1.44	0.9303	0.9303
1.4682	0.9266	0.9266
1.4965	0.923	0.923
1.5247	0.9193	0.9193
1.5529	0.9157	0.9157
1.5812	0.912	0.912
1.6094	0.9084	0.9084
1.6376	0.9048	0.9048
1.6659	0.9012	0.9012
1.6941	0.8977	0.8977
1.7224	0.8941	0.8941
1.7506	0.8906	0.8906
1.7788	0.8871	0.8871
1.8071	0.8836	0.8836
1.8353	0.8801	0.8801
1.8635	0.8766	0.8766
1.8918	0.8732	0.8732
1.92	0.8697	0.8697
1.9482	0.8663	0.8663
1.9765	0.8629	0.8629
2.0047	0.8595	0.8595
2.0329	0.8561	0.8561
2.0612	0.8528	0.8528
2.0894	0.8494	0.8494
2.1176	0.8461	0.8461
2.1459	0.8428	0.8428
2.1741	0.8395	0.8395
2.2024	0.8362	0.8362
2.2306	0.833	0.833
2.2588	0.8297	0.8297
2.2871	0.8265	0.8265
2.3153	0.8233	0.8233
2.3435	0.8201	0.8201
2.3718	0.8169	0.8169
2.4	0.8137	0.8137
2.4282	0.8106	0.8106
2.4565	0.8075	0.8075
2.4847	0.8043	0.8043
2.5129	0.8012	0.8012
2.5412	0.7982	0.7982
2.5694	0.7951	0.7951
2.5976	0.792	0.792
2.6259	0.789	0.789
2.6541	0.786	0.786
2.6824	0.783	0.783
2.7106	0.78	0.78
2.7388	0.777	0.777
2.7671	0.7741	0.7741
2.7953	0.7711	0.7711
2.8235	0.7682	0.7682
2.8518	0.7653	0.7653
2.88	0.7624	0.7624
