m	up	down
MC=2		
NITI=1		
COH=0		
1.4408	9.65E-01	9.65E-01
1.4494	9.64E-01	9.64E-01
1.4580	9.64E-01	9.64E-01
1.4667	9.63E-01	9.63E-01
1.4753	9.63E-01	9.63E-01
1.4839	9.62E-01	9.62E-01
1.4925	9.62E-01	9.62E-01
1.5012	9.61E-01	9.61E-01
1.5098	9.61E-01	9.61E-01
1.5184	9.60E-01	9.60E-01
1.5271	9.60E-01	9.60E-01
1.5357	9.60E-01	9.60E-01
1.5443	9.59E-01	9.59E-01
1.5529	9.59E-01	9.59E-01
1.5616	9.58E-01	9.58E-01
1.5702	9.58E-01	9.58E-01
1.5788	9.57E-01	9.57E-01
1.5875	9.57E-01	9.57E-01
1.5961	9.56E-01	9.56E-01
1.6047	9.56E-01	9.56E-01
1.6133	9.55E-01	9.55E-01
1.6220	9.55E-01	9.55E-01
1.6306	9.54E-01	9.54E-01
1.6392	9.54E-01	9.54E-01
1.6478	9.53E-01	9.53E-01
1.6565	9.53E-01	9.53E-01
1.6651	9.52E-01	9.52E-01
1.6737	9.52E-01	9.52E-01
1.6824	9.51E-01	9.51E-01
1.6910	9.51E-01	9.51E-01
1.6996	9.50E-01	9.50E-01
1.7082	9.50E-01	9.50E-01
1.7169	9.49E-01	9.49E-01
1.7255	9.49E-01	9.49E-01
1.7341	9.48E-01	9.48E-01
1.7427	9.48E-01	9.48E-01
1.7514	9.47E-01	9.47E-01
1.7600	9.47E-01	9.47E-01
1.7686	9.46E-01	9.46E-01
1.7773	9.46E-01	9.46E-01
1.7859	9.45E-01	9.45E-01
1.7945	9.45E-01	9.45E-01
1.8031	9.44E-01	9.44E-01
1.8118	9.44E-01	9.44E-01
1.8204	9.43E-01	9.43E-01
1.8290	9.43E-01	9.43E-01
1.8376	9.42E-01	9.42E-01
1.8463	9.42E-01	9.42E-01
1.8549	9.41E-01	9.41E-01
1.8635	9.41E-01	9.41E-01
1.8722	9.40E-01	9.40E-01
1.8808	9.40E-01	9.40E-01
1.8894	9.39E-01	9.39E-01
1.8980	9.39E-01	9.39E-01
1.9067	9.38E-01	9.38E-01
1.9153	9.37E-01	9.37E-01
1.9239	9.35E-01	9.35E-01
1.9325	9.33E-01	9.33E-01
1.9412	9.28E-01	9.28E-01
1.9498	9.19E-01	9.19E-01
1.9584	9.03E-01	9.03E-01
1.9671	8.72E-01	8.72E-01
1.9757	8.18E-01	8.18E-01
1.9843	7.27E-01	7.27E-01
1.9929	5.95E-01	5.95E-01
2.0016	4.37E-01	4.37E-01
2.0102	2.86E-01	2.86E-01
2.0188	1.69E-01	1.69E-01
2.0275	9.32E-02	9.32E-02
